listing_id,close_price
mrd10801802,300079.6
mrd10966126,870310.3
mrd11165969,511947.28
mrd11185881,664587.3
mrd11198825,1923178.4
mrd11203997,451180.4
mrd11225213,588044.5
mrd11257626,171799.77
mrd11295064,945599.94
mrd11296257,519767.2
mrd11325633,506818.47
mrd11372731,348423.56
mrd11425162,468571.5
mrd11429964,991688.0
mrd11434159,364578.72
mrd11434162,444155.28
mrd11461791,1546438.0
mrd11465979,985298.56
mrd11615898,243486.47
mrd11621536,386545.97
mrd11637055,535407.94
mrd11641496,231808.22
mrd11657767,831274.7
mrd11657859,543301.7
mrd11667877,584609.8
mrd11668467,436034.3
mrd11683092,466318.75
mrd11688641,737240.7
mrd11695954,146832.05
mrd11697538,1308527.8
mrd11701455,277113.75
mrd11701529,435107.78
mrd11705426,707701.0
mrd11706848,2626534.8
mrd11707457,517028.88
mrd11707537,3799983.5
mrd11707575,940914.0
mrd11709819,675019.2
mrd11713278,709963.4
mrd11715708,2766491.5
mrd11716349,421382.7
mrd11718881,575015.75
mrd11718991,396486.34
mrd11719655,802497.6
mrd11721479,427871.88
mrd11723649,493867.56
mrd11728197,572826.3
mrd11730176,302434.28
mrd11731162,914461.1
mrd11733236,1268500.1
mrd11734992,239488.28
mrd11735580,734548.06
mrd11738834,102005.41
mrd11742658,327088.0
mrd11747536,100326.664
mrd11748425,879435.7
mrd11754623,483636.6
mrd11755515,333741.6
mrd11763903,448878.66
mrd11767496,845608.7
mrd11768241,1388000.5
mrd11771621,1854078.9
mrd11771842,602533.06
mrd11772577,744535.44
mrd11773253,2440788.5
mrd11773945,119041.52
mrd11774271,272769.7
mrd11774661,87114.15
mrd11775452,243623.6
mrd11777824,339536.88
mrd11777930,627444.56
mrd11782583,209051.77
mrd11783177,504815.22
mrd11783733,1184845.2
mrd11788663,957993.94
mrd11789191,747451.3
mrd11789347,354733.6
mrd11790598,531537.1
mrd11791389,917542.4
mrd11793708,221785.6
mrd11793731,773076.56
mrd11794303,1179686.1
mrd11794844,568076.5
mrd11795091,1570296.4
mrd11795286,482485.5
mrd11795376,770623.06
mrd11797631,265541.72
mrd11797899,639911.25
mrd11798018,319139.34
mrd11798743,159021.56
mrd11799145,209271.06
mrd11799198,719547.8
mrd11799205,620248.3
mrd11800712,668674.25
mrd11801292,363315.06
mrd11803807,454197.34
mrd11806324,160880.27
mrd11806595,665410.1
mrd11807441,401033.38
mrd11808647,174014.66
mrd11809085,600246.0
mrd11810329,231993.1
mrd11810464,345877.62
mrd11811099,511722.66
mrd11811156,219488.62
mrd11811834,274818.06
mrd11812050,346922.12
mrd11812106,153119.78
mrd11812297,443216.5
mrd11812463,190718.69
mrd11813462,243816.2
mrd11816152,390461.75
mrd11816196,594392.44
mrd11816252,285953.1
mrd11817462,897654.06
mrd11817871,503039.06
mrd11818570,935285.56
mrd11818576,237177.53
mrd11818998,1752350.0
mrd11820164,297448.9
mrd11821001,313543.34
mrd11821076,992984.44
mrd11822234,485586.6
mrd11822649,2240880.2
mrd11824833,230202.67
mrd11824849,174684.27
mrd11827229,590640.8
mrd11827257,304708.0
mrd11829349,491743.2
mrd11830042,637304.8
mrd11830824,453399.88
mrd11831846,534488.9
mrd11832479,589099.06
mrd11832618,868685.94
mrd11833219,931666.1
mrd11833324,786695.4
mrd11833828,901764.25
mrd11833847,575593.1
mrd11834996,439576.28
mrd11835772,198143.47
mrd11835925,279308.16
mrd11837193,1771122.9
mrd11838921,170737.66
mrd11839414,555631.9
mrd11840134,727214.2
mrd11840199,381229.47
mrd11840602,419147.72
mrd11840784,488259.12
mrd11840873,823111.56
mrd11841603,316823.1
mrd11841619,992770.7
mrd11842696,764873.8
mrd11844448,676215.0
mrd11844771,257147.48
mrd11844977,430167.47
mrd11845341,256106.33
mrd11846441,2723715.0
mrd11847034,290883.94
mrd11847125,713583.56
mrd11847649,459330.7
mrd11848698,490315.25
mrd11850593,131463.72
mrd11850896,426406.53
mrd11851711,416349.7
mrd11852427,234702.72
mrd11852703,306390.12
mrd11853152,88554.6
mrd11853613,273963.12
mrd11854357,601221.4
mrd11855535,321512.12
mrd11856052,117214.33
mrd11856077,650089.56
mrd11856634,2178873.8
mrd11857826,663441.9
mrd11858033,201527.95
mrd11858804,435699.06
mrd11859142,629081.6
mrd11859531,537103.1
mrd11861899,608267.06
mrd11862321,352956.25
mrd11862524,257875.33
mrd11862927,659115.94
mrd11863015,692714.8
mrd11863184,2006655.9
mrd11863480,147101.11
mrd11864115,1506228.0
mrd11864282,252492.73
mrd11864306,865402.8
mrd11864525,299703.9
mrd11864549,196920.61
mrd11865087,253487.16
mrd11865318,442000.88
mrd11865658,649676.8
mrd11865674,332728.0
mrd11865687,298885.56
mrd11866134,1261302.1
mrd11866171,204139.72
mrd11866367,509918.4
mrd11866877,267502.3
mrd11868026,646251.75
mrd11868038,456670.88
mrd11868048,274325.94
mrd11868314,521252.7
mrd11868446,584173.56
mrd11868510,298654.4
mrd11869124,369680.44
mrd11869505,102571.24
mrd11869655,198382.7
mrd11871249,865444.56
mrd11871632,324322.6
mrd11871795,117899.88
mrd11871867,506145.44
mrd11872406,531670.7
mrd11872688,163004.23
mrd11872947,149434.55
mrd11873127,1684443.5
mrd11873547,209085.81
mrd11873936,237469.61
mrd11873979,242166.55
mrd11874927,485121.75
mrd11875977,239525.55
mrd11876759,47481.54
